Zona Vecinal;Total Comercial;Categoría;;Categoria Comercio;Cantidad lugares;
Barón;322;Bajo;;Muy Bajo;0;100
Cordillera;81;Muy Bajo;;Bajo;101;400
Esperanza;122;Bajo;;Medio;401;700
Jean y Marie Thierry;894;Alto;;Alto;701;1000
Laguna Verde;84;Muy Bajo;;Muy Alto;1001;4000
Las Cañas;41;Muy Bajo;;;;
Marcelo Mena;404;Medio;;;;
Padre Demian Molokai;70;Muy Bajo;;;;
Placeres;289;Bajo;;;;
Placilla;799;Alto;;;;
Plaza Justicia;3663;Muy Alto;;;;
Puertas Negras;39;Muy Bajo;;;;
Quebrada Verde;228;Bajo;;;;
Reina Isabel 2;248;Bajo;;;;
Rodelillo;131;Bajo;;;;
Total;7415;;;;;
